study_id,short_cite,expt_num,original_ma,main_question_ids_preference,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,test_lang,infant_type,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,same_infant,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,num_trials,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,effect_significance_reported,d,d_var,es_method,prop_female,n,mean_age,age_group
Cooper1990,Cooper & Aslin (1990),1,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,12,NA,34,1,NA,33.6,21.4,19.8,15.3,NA,NA,0.583333333,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,0.5407103469212569,0.09551531996948774,classic_cohen_d_within_two,0.583333333,12,34,0-3 mo
Cooper1990,Cooper & Aslin (1990),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,16,NA,2,2,NA,18.3,13.9,6.6,4.3,NA,NA,0.4375,NA,0,1,1,Unfamiliar mother,Tape recording,Hospital room,Simulated,significant,0.6055014019242421,0.07395724836663195,classic_cohen_d_within_two,0.4375,16,2,0-3 mo
Cooper1994,Cooper & Aslin (1994),1,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,12,NA,35,1,NA,30.4,31,17.6,13.1,NA,NA,0.666666667,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,non-significant,-0.03016770839587523,0.0833712537762441,classic_cohen_d_within_two,0.666666667,12,35,0-3 mo
Cooper1994,Cooper & Aslin (1994),2,yes,no,eye-tracking,test_only,CF,looking_time,between,American English,native,typical,IDS,ADS,0.57,10,10,35,2,35,38.6,33.4,NA,NA,NA,NA,0.55,3,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,not reported,0.27,0.2018225,reported_d,0.55,20,35,0-3 mo
Cooper1994,Cooper & Aslin (1994),3,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,10,NA,35,3_IDS_first,NA,44.6,25.7,19.9,8.2,NA,NA,0.4,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,significant,0.9118313178488889,0.14157181761050208,classic_cohen_d_within_two,0.4,10,35,0-3 mo
Cooper1994,Cooper & Aslin (1994),3,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,10,NA,35,3_ADS_first,NA,23.1,27.4,12.6,17.7,NA,NA,0.4,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,non-significant,-0.2421219531932868,0.10293115201090661,classic_cohen_d_within_two,0.4,10,35,0-3 mo
Cooper1997,Cooper et al. (1997),1,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,20,NA,38.7,1,NA,30.6,36.3,13.37,17.93,NA,NA,0.4,10,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,non-significant,-0.3093537479951085,0.05239249353496553,classic_cohen_d_within_two,0.4,20,38.7,0-3 mo
Cooper1997,Cooper et al. (1997),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,20,NA,42.7,2,NA,34.25,24.82,25.04,16.32,NA,NA,0.2,10,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.34202317150255607,0.05292449624611668,classic_cohen_d_within_two,0.2,20,42.7,0-3 mo
Cooper1997,Cooper et al. (1997),3,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,23,NA,126,3,NA,23.72,19.9,12.76,9.69,NA,NA,0.47826087,10,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,significant,0.26375225222660564,0.044990548925100154,classic_cohen_d_within_two,0.47826087,23,126,3-6 mo
Fernald1985,Fernald (1985),1,yes,yes,behavior,conditioning,CHT,target_selection,within_two,American English,native,typical,NA,NA,2.24,48,NA,123,1,NA,8.73,7.5,NA,NA,NA,NA,0.4375,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.32,0.0422,reported_d,0.4375,48,123,3-6 mo
Fernald1987,Fernald & Kuhl (1987),1,yes,yes,behavior,conditioning,CHT,target_selection,within_one,American English,artificial,typical,NA,NA,3.45,20,NA,124,1,NA,9.8,7.5,NA,NA,NA,NA,0.45,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,significant,0.771,0.1074305125,reported_d,0.45,20,124,3-6 mo
Fernald1987,Fernald & Kuhl (1987),2,yes,yes,behavior,conditioning,CHT,target_selection,within_one,American English,artificial,typical,NA,NA,0.66,20,NA,122,2,NA,8.15,7.5,NA,NA,NA,NA,0.5,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,non-significant,0.148,0.1002738,reported_d,0.5,20,122,3-6 mo
Fernald1987,Fernald & Kuhl (1987),3,yes,yes,behavior,conditioning,CHT,target_selection,within_one,American English,artificial,typical,NA,NA,1.1,20,NA,125,3,NA,8.6,7.5,NA,NA,NA,NA,0.5,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Synthesized,non-significant,0.246,0.10075645,reported_d,0.5,20,125,3-6 mo
Kaplan1995a,Kaplan et al. (1995a),1,yes,yes,eye-tracking,test_only,CF,looking_time,between,American English,native,typical,IDS,ADS,NA,40,37,124,1,124,7.218868,5.878491,NA,NA,NA,NA,NA,10,0,1,1,Unfamiliar mother; Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.76,0.05361,reported_d,NA,77,124,3-6 mo
Kaplan1995a,Kaplan et al. (1995a),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,26,NA,126,2,NA,6.330532,5.747899,NA,NA,NA,NA,NA,NA,0,0,1,Unfamiliar mother; Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.82,0.08338846154,reported_d,NA,26,126,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),1,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,15,15,124,1,124,6.88,6.18,2.67,2.13,NA,NA,0.6,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,0.28983830054631726,0.1347334373410596,classic_cohen_d_between,0.6,30,124,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),2,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,20,20,121,2,121,6.17,5.52,2.41,2.77,NA,NA,0.55,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.25036135889735395,0.10078351012536163,classic_cohen_d_between,0.55,40,121,3-6 mo
Pegg1992,Pegg et al. (1992),2,yes,yes,eye-tracking,habituation,CF,looking_time,within_two,Canadian English,native,typical,femaleVoice,NA,NA,24,NA,49,2,NA,78.75,56.89,57.63,35.11,NA,NA,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.34836607159593874,0.04419497749664972,classic_cohen_d_within_two,NA,24,49,0-3 mo
Pegg1992,Pegg et al. (1992),2,yes,yes,eye-tracking,habituation,CF,looking_time,within_two,Canadian English,native,typical,maleVoice,NA,NA,24,NA,49,3,NA,50.375,24.12,31.27,7.65,NA,NA,NA,NA,0,1,0,Unfamiliar male,Tape recording,Laboratory,Simulated,significant,0.8273348115250267,0.05592672688252399,classic_cohen_d_within_two,NA,24,49,0-3 mo
